"gene_id","transcript_id","IND01_BA10","IND02_BA10","IND03_BA10","IND04_BA10","IND05_BA10","IND01_BA24","IND02_BA24","IND03_BA24","IND04_BA24","IND05_BA24","IND01_BA46","IND02_BA46","IND03_BA46","IND04_BA46","IND05_BA46","IND01_BA9","IND02_BA9","IND03_BA9","IND04_BA9","IND05_BA9","IND01_caud","IND02_caud","IND03_caud","IND04_caud","IND05_caud","IND01_cbm","IND02_cbm","IND03_cbm","IND04_cbm","IND05_cbm","IND01_TCX","IND02_TCX","IND03_TCX","IND04_TCX","IND05_TCX"
"ENSG00000055955","tx10",8731.442974,0,10435.13783,1375.67897,0,0,0,24285.40586,0,50216.2805,0,1264.64974,22195.01745,18223.84298,10574.55945,0,9641.393559,19059.09962,36015.09495,0,0,10194.0538,5174.2794,0,NA,1451.373395,0,14934.06122,0,0,6528.001028,0,451.8461397,735.6955626,0
"ENSG00000055955","tx102",0,2244.406539,40006.15285,16891.43169,0,12319.61437,54581.80876,44562.15576,0,79265.29703,1373.500259,13358.2919,52067.90312,0,0,19742.70179,12304.31073,26744.06123,40185.14846,18621.14057,4576.750718,14716.7489,21792.25025,6520.144693,NA,17478.66469,19713.59694,94022.72861,30409.02027,54060.34024,27231.03401,15908.55135,0,0,55525.47951
"ENSG00000055955","tx103",0,0,3790.560918,25922.95058,0,928.5527528,15928.33322,0,0,0,0,25365.33592,0,0,0,0,8314.646712,0,0,4233.430398,0,29152.10476,7896.675569,0,NA,11120.97763,19368.01614,6295.112872,26182.80617,18987.15776,0,0,0,0,0
"ENSG00000055955","tx104",0,0,2193.84513,632.4186829,0,0,1054.15681,2446.665897,683.9774605,4097.860621,11920.80706,0,1599.640897,11435.15145,0,0,514.7573592,27151.22785,2571.772773,1325.609252,595.6839796,5027.484153,12663.35423,764.6897808,NA,0,8677.652958,5794.365257,3786.153241,20717.03881,565.1982878,0,19747.89201,0,2282.739131
"ENSG00000055955","tx105",0,0,19203.4577,0,0,0,0,8154.381455,0,446.9580014,0,0,0,0,47692.39474,0,0,0,375.4212785,11210.45625,603.5912891,15805.80443,0,2135.422504,NA,1606.83327,13698.10777,33796.95736,22065.79236,17540.74462,0,0,0,0,0
"ENSG00000055955","tx107",0,0,17278.42164,10653.74274,23891.13037,0,7382.275231,552.796871,0,5101.177627,0,0,13486.76828,0,3700.886243,0,14868.28141,15217.54419,5788.543965,5645.258137,536.6427356,0,23769.55856,0,NA,5992.045429,14560.8681,27933.86204,21148.9989,7300.596425,415.86365,3039.350941,9766.919402,0,0
"ENSG00000055955","tx108",0,0,0,0,0,0,2731.910526,0,0,0,0,4650.954032,12987.90068,0,0,0,0,0,0,9196.638711,11474.03319,8178.11965,0,301.3688999,NA,0,10014.69314,8169.059127,21045.50311,0,10720.73756,0,0,0,0
"ENSG00000055955","tx11",24125.01575,1340.421806,9764.37599,3636.018963,0,18119.811,3236.348788,14926.51969,2173.961344,491.2877759,6398.160832,4733.327877,13333.7414,544.1649341,0,22355.13235,6485.70714,41505.08526,0,3321.464606,16883.16001,0,8747.457074,0,NA,2223.698055,1680.237664,0,5692.268701,9077.202951,22222.24835,0,8595.363869,0,0
"ENSG00000055955","tx13",48071.0775,10954.48166,7463.612431,2319.386455,10012.5612,24583.84139,970.7457583,1846.17084,14845.83162,927.6717026,0,5292.519557,7445.267389,16023.11698,28783.50654,39146.90736,6726.00577,17244.12354,10055.19309,22939.76304,5805.019455,654.6147386,3431.380757,2797.352401,NA,6212.176612,10900.09498,13527.19887,13908.36792,3386.039673,21660.1857,4130.910817,15918.67403,1278.342679,577.5251824
"ENSG00000055955","tx14",26737.24008,1002.649733,33109.40983,769.675809,1130.063871,9801.118662,22793.45994,15492.3708,0,970.7813916,0,2737.346242,6787.251841,10448.43469,1065.62891,34921.09802,10000.27092,34105.75721,436.7355202,6468.95262,15439.81246,8361.239934,0,7319.087769,NA,19696.14435,4957.296939,10317.92564,18252.74651,14168.20342,16437.78488,13165.95529,21455.17405,32869.81597,1034.854769
"ENSG00000055955","tx15",22466.03655,12964.22549,19039.54973,55607.26437,34375.95707,21042.30861,35204.22997,29125.51652,37657.72756,29299.94745,38179.63474,16172.20358,32923.22132,41892.34359,35035.82483,25814.06028,30226.1909,25046.29978,32287.25756,23399.08177,20720.31372,15156.02278,28368.27851,23670.52898,NA,19382.73724,28897.70451,21965.56764,10370.76757,22574.63616,26277.80084,26093.26155,27132.13413,62564.58828,11542.68605
"ENSG00000055955","tx17",8329.678639,61457.62872,13453.0618,35585.85226,13931.8322,38391.58373,51524.19794,16371.52368,7826.602656,12871.49571,23434.70549,37526.03885,9655.995593,25232.80766,5755.653491,22881.11129,39745.86457,3647.2259,8228.782275,8716.278564,32268.14846,38253.34396,39847.55,17424.11017,NA,28431.74565,19832.76273,23202.70881,6309.168831,14253.34762,39592.10086,45991.19447,4992.068953,3119.240596,60599.10176
"ENSG00000055955","tx18",540.89477,995.538742,14550.4887,638.1161485,0,0,7933.58256,2312.106804,0,0,19929.7091,13808.17983,0,741.040331,6413.681963,50082.03011,16361.50966,0,0,0,0,1342.524074,6753.405219,0,NA,6763.12641,3754.914099,0,0,3230.288078,4572.148424,13446.10849,11220.58203,341.4544391,46060.8092
"ENSG00000055955","tx19",39668.80907,15069.96771,19738.04985,27673.10843,46050.32468,18396.74778,10902.22159,40817.09503,3245.218396,19128.09434,45716.99284,31000.02376,29305.66607,2246.518748,25204.16695,101834.4543,17809.19111,15646.30299,16080.43058,18901.86386,26387.74599,25889.23425,7997.660089,26907.76579,NA,35896.30702,9916.977193,15676.06539,19323.56127,15148.40012,26438.89411,37687.03858,26340.8099,28975.66685,85343.27081
"ENSG00000055955","tx2",13328.29238,12824.67229,4466.870417,10132.16566,36797.64933,12980.19006,9848.064784,1897.885715,0,0,28401.34118,1115.215136,1983.228255,406.1181787,1206.036259,21262.08236,0,16327.38171,12832.14593,12538.63153,23758.30202,7023.548946,9416.675736,50797.33557,NA,3352.958588,5899.898352,1628.481739,7120.02171,2475.412015,19684.73537,0,11473.01446,444.0114261,0
"ENSG00000055955","tx20",12444.10838,16143.72735,7196.82069,33902.51015,3903.292099,24623.75287,5374.849264,47042.96351,15459.39461,9648.029725,6051.480552,6028.075752,23243.7616,11410.75093,9924.913503,28424.43624,11253.20055,23196.15931,37993.24995,8056.296567,34363.58547,13002.07715,10484.60012,17656.97248,NA,25854.84276,11157.49309,14650.72503,7118.391855,7466.731459,21936.90553,8248.540298,9195.583303,7219.710246,37962.26445
"ENSG00000055955","tx21",1562.192817,5178.579206,1930.079382,0,891.2679707,0,3309.432757,6347.875422,0,0,12034.65334,0,1622.084838,336.2591669,0,0,13025.20662,11447.55139,1349.255854,13605.07211,4224.084716,7863.969017,0,0,NA,2701.270791,18071.49233,8358.417469,5838.140727,1253.281167,848.1893861,0,441.9545867,306.4644082,0
"ENSG00000055955","tx22",4988.531821,8828.295344,7200.855347,26077.30011,7407.111502,3802.179167,7850.171509,7676.897509,11071.47923,5888.132797,18208.79407,14524.19864,40336.86315,13525.23949,9875.666149,4166.225783,3979.847897,27645.997,8514.458686,4393.550447,9127.670891,13853.77443,20410.38435,31315.32351,NA,19846.62951,30697.10797,19444.99771,38101.93602,21682.6987,6874.09679,4101.857893,17115.9476,66315.45926,1333.877959
"ENSG00000055955","tx23",3509.514808,5477.240829,3258.490433,9455.203159,10236.26591,1838.371547,8186.993278,1311.951157,30871.96017,1080.182395,0,1626.355406,3035.032952,4502.730852,5286.231907,1329.329593,3452.133259,10812.7416,6392.780402,5107.932204,2721.695918,5367.948258,7795.691048,4355.276375,NA,8105.056053,6438.52773,13859.62796,10445.7409,9554.841175,11655.15692,1237.654582,6972.357857,1924.150059,18712.89083
"ENSG00000055955","tx24",1033.396345,24148.03661,16619.76377,24063.50499,59819.70466,17815.99505,7930.404996,0,715.7665179,28862.75014,743.3060225,0,24756.68727,13256.49956,0,530.6018041,1285.911786,0,3123.25841,12326.67775,16120.36823,5244.973053,542.0723489,0,NA,11556.26528,8324.922215,16178.21566,8730.318482,5433.653974,8839.748256,1603.306389,29555.96027,0,0
"ENSG00000055955","tx25",0,29776.386,0,0,0,0,9789.279853,3012.517008,0,0,0,6391.893569,0,21100.7641,0,14230.19592,0,0,0,0,0,0,0,0,NA,1256.115791,6813.899975,11462.49162,5191.088279,2076.687932,0,0,20693.52448,0,0
"ENSG00000055955","tx27",25716.95022,3337.721407,8698.21769,12179.62762,0,0,2936.069004,23157.21824,38993.89342,453.0584291,0,13041.46942,8692.946481,45097.50179,0,11986.56699,0,4871.193455,448.039263,5734.555857,27892.77056,16206.41361,0,4265.73706,NA,5546.808347,0,0,0,3271.821837,14184.04691,24731.92452,12877.61498,0,0
"ENSG00000055955","tx28",1223.944549,0,9689.23049,0,0,7099.355959,0,16566.33311,0,0,0,11324.81961,14310.05285,9950.731013,0,0,0,0,0,0,0,0,0,0,NA,12979.03406,9635.745924,9623.611723,8576.297181,18639.31253,6093.71552,0,21129.54413,16638.06131,0
"ENSG00000055955","tx29",8448.141147,3100.392082,18877.65909,28515.81539,0,44520.84642,5586.951652,48225.37644,5449.943344,8054.598014,2015.446369,30428.68722,5683.418008,10410.66403,3508.088092,16320.75675,30426.43976,2856.335574,20148.06533,34381.16167,17412.94975,18552.60869,15366.91391,25295.75767,NA,10796.37741,19033.16026,20785.9353,10291.7196,20987.00824,24102.0618,45509.33097,19703.97352,2677.038999,1125.245766
"ENSG00000055955","tx30",16179.96219,0,5294.983912,31900.62791,41386.25903,26304.92206,0,4869.733744,1066.129785,1643.455217,40761.37453,16668.03076,9524.392483,30426.77505,0,29294.04791,9188.674082,837.7761793,450.7795643,10697.25096,15617.46335,11626.79549,14302.65218,2326.8203,NA,7310.345171,0,10573.20874,6049.206953,16354.95581,16085.41784,3243.966538,2240.634579,936.2849636,3634.20669
"ENSG00000055955","tx31",9564.2092,17629.92447,16733.23852,4761.009446,13057.43086,22146.79767,7739.751165,13362.01919,12911.48457,14736.19311,5344.164644,6858.150654,7789.06776,2198.720477,20040.52952,19304.55722,8525.889625,15860.99085,13788.51108,6064.03365,21626.49138,12817.88285,3600.909175,5015.102999,NA,35056.82369,13074.87068,9588.545363,13755.16155,12751.90225,17147.61435,7757.960916,7893.854932,8501.974222,7897.24156
"ENSG00000055955","tx32",684.5620668,0,0,0,0,12626.6884,3369.01208,622.5868484,0,6612.050215,1928.776299,26830.11186,1837.342637,0,5116.485709,23276.10915,638.4404776,0,0,2876.002418,10891.0009,3173.189902,0,15630.61968,NA,8690.828862,9153.124467,2146.061206,5512.984648,3927.016879,5293.344575,0,1729.834783,0,0
"ENSG00000055955","tx33",69479.01701,53290.65554,31311.46549,5455.582299,100740.7999,48090.8874,56304.04838,48292.1539,22605.09616,17512.2944,71455.8001,16165.33909,58505.23352,60493.22468,42522.47041,58644.08382,53133.48236,37288.44301,27033.41489,63954.10302,18397.1462,14518.59235,58270.68456,25124.4912,NA,63602.98781,34119.54951,61037.90814,13287.39315,30881.38789,69411.20998,37827.3227,64695.90003,38053.16675,63913.76406
"ENSG00000055955","tx34",25177.56774,10527.8222,0,1518.11561,0,8744.686275,0,8641.907124,36006.74748,22526.84595,1098.065715,0,5394.707311,2129.864226,0,838.2789394,0,3450.428697,0,32045.56442,8171.940754,3490.025583,5146.547899,0,NA,3592.988635,0,2597.715918,6104.622024,4682.931287,0,2507.682423,7322.12317,0,957.6559709
"ENSG00000055955","tx37",0,0,4565.215199,0,0,0,6517.183471,4078.445943,0,0,0,11811.14212,0,0,6778.321944,16643.84343,528.4999279,13543.22567,6709.62774,6299.08167,10847.24712,2369.286486,7465.005986,0,NA,0,12231.17687,4244.432163,5224.500307,8435.50638,0,15456.15582,0,20607.92162,0
"ENSG00000055955","tx39",4611.972275,4601.70006,17107.45302,0,2375.530966,9255.390289,20515.14665,5148.893653,0,0,0,15486.28291,13621.43192,5174.246425,1493.137853,20942.0776,22140.84876,8366.040329,2063.104343,28430.54639,693.734617,5272.897554,0,557.9681426,NA,33198.76727,29575.75786,3134.932546,10962.40495,17883.39813,5846.784229,0,4759.023965,0,9714.344905
"ENSG00000055955","tx4",11503.96975,22935.61264,9707.890782,11468.99828,0,3901.550602,3355.507433,11880.86499,9533.299038,2607.322791,23823.25182,22368.19525,12779.78413,8931.257395,0,7569.679369,7567.050974,0,20213.14749,11630.25817,15091.89084,4425.496358,4658.368844,11867.56474,NA,6229.588118,7545.577936,4195.33926,7744.256187,13743.52073,13553.00027,8652.79099,7347.049884,7294.516519,6443.168004
"ENSG00000055955","tx40",3831.63201,3475.496858,3955.981884,7481.2903,1470.059521,7742.012206,3561.254693,0,24969.79185,0,0,1305.308625,0,3392.674497,0,17239.67895,5065.90347,5395.574716,7018.254175,2981.722707,0,1326.950795,9552.193823,8318.142197,NA,6268.142167,0,0,9906.258888,0,8209.485532,19762.21426,7014.693704,58830.3074,0
"ENSG00000055955","tx43",20970.38437,0,7833.287943,4193.852642,0,14680.09321,5245.363537,16972.01874,14559.38828,5548.949018,4051.458518,1830.705907,29225.07192,16797.58268,24723.21939,18612.15525,8188.607725,8314.836041,11420.20568,5155.14709,15891.05625,3258.574433,9962.410736,8072.059317,NA,6927.292038,10424.62347,8739.939461,14152.03125,4984.051037,8120.511877,7572.852283,8532.453592,10532.9042,7234.69998
"ENSG00000055955","tx44",5166.981727,7992.7539,826.6004983,0,0,0,0,592.9637644,1363.853107,8448.278947,0,11091.95509,0,0,0,0,8563.583528,0,6797.65992,20322.41609,758.0474006,700.2605571,16948.13268,9716.217463,NA,1584.447048,1414.497949,0,929.8322961,7616.25299,10720.34561,477.2980448,7765.660406,748.0627287,0
"ENSG00000055955","tx45",14564.33522,0,6798.398241,2888.097114,0,21183.22056,12514.04086,0,0,0,17465.48805,25265.00881,23049.92757,15599.95187,12193.43522,3191.829246,33491.03258,10667.76561,0,44738.67074,0,8974.504931,28471.87921,26483.20522,NA,3972.310731,2041.310013,4940.148737,21523.05063,3332.045787,9393.579865,7712.306321,27440.75059,0,0
"ENSG00000055955","tx46",576.6855703,8738.519083,6795.372248,12844.67725,17927.44688,12425.50197,6181.156093,9366.919551,7508.712082,2746.005847,9606.422399,7445.32832,1175.246373,6681.061857,37092.68771,5644.514255,8810.164475,13068.81486,3630.214151,3671.47061,6644.248566,9349.874662,8135.794356,14127.68126,NA,1693.8908,2927.903504,0,6610.692012,9020.094032,3781.184384,4876.325851,4283.042436,9629.497803,49625.63469
"ENSG00000055955","tx47",13839.44549,19377.45051,14643.28583,7406.705295,20439.68628,10299.60488,34779.23081,10717.02926,385.9123203,27847.63897,12253.53199,17624.30662,10619.0447,10409.66127,12519.30601,14051.44526,16982.67376,2432.512132,14300.60489,10764.48086,19246.39124,4967.339074,9764.104346,16897.39065,NA,17080.68741,8299.897398,3038.149394,16508.80162,17505.44092,5796.614062,32527.65423,1321.115815,0,561.4013829
"ENSG00000055955","tx48",21383.23882,26655.54982,11166.41954,2081.646754,970.2747928,12475.18769,17467.86291,1088.020726,415.9922886,552.2920527,19478.73094,24698.4246,0,1068.608903,2888.828814,592.2399615,42139.03475,0,383.9847201,0,11172.50112,44789.28816,18610.97623,1463.57718,NA,6219.638686,6312.211991,0,0,7417.929293,12270.13343,14186.12798,19254.89701,0,0
"ENSG00000055955","tx49",20278.76497,27547.97919,41662.37984,46329.71855,96873.90422,43705.51194,24445.79314,37431.528,45567.39195,30158.88767,92369.72864,52971.66287,7244.292098,29268.25192,210262.1007,49947.96712,33827.92184,92948.1208,38653.66257,21913.86568,55025.3851,53434.06918,41224.70678,68809.16017,NA,23597.56537,32371.38734,25961.72998,26252.88994,42310.43993,33907.58577,30733.01359,42929.73555,71281.3289,1134.040566
"ENSG00000055955","tx50",3625.456837,3083.503479,2417.768633,0,0,4180.116427,7499.845094,2995.446078,0,13663.33122,0,3042.023862,1366.019873,0,0,0,5914.801571,1567.591511,0,1257.866154,6171.39146,3234.408999,5641.529021,0,NA,1644.14364,7080.831348,1510.658771,6035.353186,5537.488371,1013.594155,0,1096.775393,0,53666.35657
